name,website,batch,status,founded_year,team_size,one_liner,yc_slug,source
Propaya,https://www.propaya.com,Summer 2024,Active,2024,2,AI commercial lease abstractions and review,propaya,ycombinator
ZeroPath,https://zeropath.com,Summer 2024,Active,2024,4,Automatically find andfix your software vulnerabilities,zeropath,ycombinator
bluedoor,https://bluedoor.sh/,Summer 2024,Active,2024,1,Professional-grade stock research in your terminal.,bluedoor,ycombinator
Handled,https://www.itshandled.ai,Summer 2024,Active,2024,2,Automating post-order operations for e-commerce brands and 3PLs,handled,ycombinator
Baseline AI,https://www.baselinetrials.com/,Summer 2024,Active,2024,2,AI document creation and data management for clinical trials,baseline-ai,ycombinator
Cartage,https://cartage.ai,Summer 2024,Active,2024,12,Autonomous freight coordination,cartage,ycombinator
Palmier,https://www.palmier.io,Summer 2024,Active,2024,2,Cinematic AI Marketing Videos,palmier,ycombinator
Simple AI,https://www.usesimple.ai,Summer 2024,Active,2024,11,AI voice that sells,simple-ai,ycombinator
Sensei,https://senseirobotics.com,Summer 2024,Active,2024,2,Robotic Training Data at Scale,sensei,ycombinator
Presti AI,https://www.presti.ai/,Summer 2024,Active,2024,16,Helping furniture companies create product visuals with AI,presti-ai,ycombinator
The Forecasting Company,https://www.theforecastingcompany.com,Summer 2024,Active,2024,7,Foundation models for time series,the-forecasting-company,ycombinator
Zettascale,https://zscc.ai,Summer 2024,Active,2024,4,Energy efficient chips for AI,zettascale,ycombinator
Brighterway,https://www.brighterway.ai/,Summer 2024,Active,2024,14,Streamlining the medical record review process in workers comp,brighterway,ycombinator
Soff,https://soff.ai,Summer 2024,Active,2024,6,AI Agents for Distributors,soff,ycombinator
Parley,https://parley.so,Summer 2024,Active,2024,3,"""Automating flat-fee legal work, startingwith work visas + green cards""",parley,ycombinator
Thunder Compute,https://www.thundercompute.com,Summer 2024,Active,2024,4,The world's cheapest GPU cloud,thunder-compute,ycombinator
Kura AI,https://trykura.com,Summer 2024,Active,2024,2,New State of the Art for Browser Agents,kura-ai,ycombinator
Piggy Robotics,https://piggyrobotics.com,Fall 2025,Active,2025,15,Humanoid robots that do your chores for the price of an iPhone!,piggy-robotics,ycombinator
Mage Legal,https://magelegal.com,Summer 2024,Active,2024,2,Automatic AI Legal Diligence,mage-legal,ycombinator
winfunc,https://winfunc.com,Summer 2024,Active,2024,2,ai-native security engineering for mission critical codebases,winfunc,ycombinator
Seals AI,https://www.hireseals.ai/,Summer 2024,Active,2024,4,AI Employees for Wholesalers & Distributors,seals-ai,ycombinator
Drillbit,https://www.drillbit.com,Summer 2024,Active,2024,10,Automating Office Work for Residential Contractors.,drillbit,ycombinator
Sharpe,https://sharpe.sh,Summer 2024,Active,2024,3,Agents for quantitative research and financial data science.,sharpe,ycombinator
Planbase,https://www.joinplanbase.com/,Summer 2024,Active,2024,4,AI workforce management for healthcare ,planbase,ycombinator
Clearly AI,https://clearly-ai.com,Summer 2024,Active,2024,12,Automate security and privacy reviews,clearly-ai,ycombinator
Overstand Labs,https://overstandlabs.com,Winter 2025,Active,2024,4,Navigate anyset of data - no matter how large - in minutes.,overstand-labs,ycombinator
Ontra Mobility,https://www.ontramobility.com,Summer 2024,Active,2024,2,Platform for cities to optimize transit ,ontra-mobility,ycombinator
Aluna,https://alunadata.com,Summer 2024,Active,2024,3,Data for biomedical AI,aluna,ycombinator
Anthrogen,https://anthrogen.com,Summer 2024,Active,2024,6,We're training the next generation of protein foundation models.,anthrogen,ycombinator
Benchify,https://www.benchify.com,Summer 2024,Active,2024,4,Executable healthcare contracts,benchify,ycombinator
TaxGPT,https://www.taxgpt.com,Summer 2024,Active,2024,28,AI tax assistant for professionals and businesses,taxgpt,ycombinator
Lighthouz AI,https://lighthouz.ai/,Summer 2024,Active,2024,8,"""Freight bill audits, AP, AR automation for freight brokers with…""",lighthouz-ai,ycombinator
Modus,https://himodus.com,Summer 2024,Active,2024,3,Unlock revenue per employee with AI-powered headcount management,modus,ycombinator
Plume,http://www.plumefinder.com,Summer 2024,Active,2024,4,Renewable infrastructure deployment at scale.,plume,ycombinator
Stormy AI,https://stormy.ai,Summer 2025,Active,2024,5,Al platform that makessocial marketing as easy as running a Google…,stormy-ai,ycombinator
Gauge,https://withgauge.com,Summer 2024,Active,2024,6,"""Your marketing agent for organic, paid, and AI search.""",gauge,ycombinator
Kenley,https://kenley.ai/,Summer 2024,Active,2024,6,AI Agents for Advisory & Financial Services.,kenley,ycombinator
Tivara,https://tivara.com,Summer 2024,Active,2024,2,The AI workforce for medicalgroups,tivara,ycombinator
Lore,https://joinlore.app/,Summer 2024,Active,2024,2,Transform your iMessage conversations into shareable stories,joinlore,ycombinator
CodeViz,https://www.codeviz.ai/,Summer 2024,Active,2024,2,One living modelof your software architecture,codeviz,ycombinator
Elevate,https://www.useelevate.dev/,Summer 2024,Active,2024,3,Automated AI data integrations for roll-ups,elevate-2,ycombinator
Storia AI,https://storia.ai,Summer 2024,Active,2024,2,Opensource AI copilot that knows your company's code and its context,storia-ai,ycombinator
Scape,https://scape.app,Summer 2024,Active,2024,2,AI-native CRM that captures all your conversations,scape,ycombinator
Willow,https://willowvoice.com/,Spring 2025,Active,2024,6,The voice interface replacing your keyboard,willow,ycombinator
NetworkOcean,https://networkocean.io/,Summer 2024,Active,2024,4,Webuild and operate underwater data centers.,networkocean,ycombinator
Silurian,https://silurian.ai/,Summer 2024,Active,2024,6,"""Foundation models to simulate Earth, starting with weather.""",silurian,ycombinator
Unbound,https://getunbound.ai/,Summer 2024,Active,2024,7,Use AI tools without fear of data leakage,unbound,ycombinator
Decisional AI,https://www.decisional.com/,Summer 2024,Active,2024,3,Self healing automation agents that run in the background.,decisional-ai,ycombinator
FirstWork,https://firstwork.com,Summer 2024,Active,2024,9,Rippling for seasonal workers,firstwork,ycombinator
Sorcerer,https://sorcerer.earth,Summer 2024,Active,2024,4,Building a nervous system for the atmosphere,sorcerer,ycombinator
Wordware,https://wordware.ai/,Summer 2024,Active,2024,15,AI agents you canrely on,wordware,ycombinator
Maitai,https://trymaitai.com,Summer 2024,Active,2024,6,"""Reliable, self-improving enterprise AI""",maitai,ycombinator
Corgi Insurance,https://corgi.insure,Summer 2024,Active,2024,100,Corgi is building an AI financial infrastructure company,corgi-insurance,ycombinator
Sage Care,https://sagecare.ai,Summer 2024,Active,2024,4,Automating home care agency operations withAI,sagecare,ycombinator
Codes Health,https://www.getcodeshealth.com/,Summer 2024,Active,2024,12,Medical Record Retrieval with Zero Human Error,codes-health,ycombinator
Entangl,https://www.entangl.com/,Summer 2024,Active,2024,7,Find & resolve issues in data center engineering & operations using AI,entangl,ycombinator
ProhostAI,https://www.prohost.ai/,Summer 2024,Active,2024,5,AI Property Manager for Airbnb & Short-Term Rental Hosts,prohostai,ycombinator
Educato,https://www.educato.com/,Summer 2024,Active,2024,5,Worldwide exam-prep platform,educato,ycombinator
Saphira AI,https://saphira.ai,Summer 2024,Active,2024,6,Vanta for Hardware,saphira-ai,ycombinator
Mem0,https://mem0.ai,Summer 2024,Active,2024,4,The Memory layer for your AI apps,mem0,ycombinator
Superunit,http://superunit.ai,Summer 2024,Active,2024,2,"""Faster, more profitable background checks withAI""",superunit,ycombinator
Ångström AI,https://www.angstrom-ai.com,Summer 2024,Active,2024,5,Gen AI molecular simulations that reproduce wetlab results,angstrom-ai,ycombinator
Marr Labs,https://www.marrlabs.com/,Winter 2024,Active,2024,9,AI-voice agents that are indistinguishable from humans.,marr-labs,ycombinator
Forge Rewards,https://www.joinforge.app/,Winter 2024,Active,2024,2,Starbucks app for restaurants,forge-rewards,ycombinator
Same,https://same.new,Winter 2024,Active,2023,5,Build products without coding,same,ycombinator
GetCrux,http://getcrux.ai/,Winter 2024,Active,2024,9,AI Creative Strategist,getcrux,ycombinator
InspectMind AI,https://www.inspectmind.ai,Winter 2024,Active,2024,3,AI agent for construction drawings review,inspectmind-ai,ycombinator
kater.ai,https://www.kater.ai,Winter 2024,Active,2024,3,Deliver complete data analysis from a singlequestion,kater-ai,ycombinator
Integuru,https://www.integuru.ai,Winter 2024,Active,2024,4,Generate the most robust APIs with any website,integuru,ycombinator
VoxOps AI,https://www.voxopsai.com/,Winter 2024,Active,2023,6,Voice AI for Automotive,voxops-ai,ycombinator
Evolvere BioSciences,https://www.evolverebiosciences.com/,Summer 2024,Active,2024,3,Making Next-Generation Antibiotics that Outpace Bacterial Evolution,evolvere-biosciences,ycombinator
Silogy,https://silogy.io,Winter 2024,Active,2023,3,An AI-powered test and debug platform for chip developers,silogy,ycombinator
Senso,http://www.senso.ai,Winter 2024,Active,2024,8,Control what AI says about you,senso,ycombinator
Magic Hour,https://magichour.ai,Winter 2024,Active,2023,2,Platform for AI video generation.,magic-hour,ycombinator
Veles,http://www.getveles.com,Winter 2024,Active,2024,5,CPQ for humansand agents,veles,ycombinator
Fluently,https://getfluently.app/,Winter 2024,Active,2024,2,Your personal English tutor,fluently,ycombinator
Basepilot,https://www.basepilot.com/,Winter 2024,Active,2024,2,AI agents for insurance claims,basepilot,ycombinator
Aqua Voice,https://aquavoice.com,Winter 2024,Active,2024,5,Frontier Voice Input - write 4x faster than typing.,aqua-voice,ycombinator
Adapted,https://adapted.app,Winter 2024,Active,2023,2,AI physical therapy for athletes,adapted,ycombinator
Ocular AI,https://useocular.com,Winter 2024,Active,2024,6,"""AI-Native Data Engine for LLMs, Computer Vision, & Enterprise AI""",ocular-ai,ycombinator
Retell AI,https://retellai.com,Winter 2024,Active,2023,30,Supercharge Your Contact Center Operations with AI Phone Agents,retell-ai,ycombinator
Rove,https://rove.com,Winter 2024,Active,2023,4,Travel the world for free.,rove,ycombinator
Downlink,https://downlink.dev/,Winter 2024,Active,2024,1,Make yourLLMs 3x faster.,downlink,ycombinator
Shepherd,https://www.shepherd.study,Winter 2024,Active,2024,5,Every student's personalized learning assistant,shepherd-2,ycombinator
Openmart,https://www.openmart.com,Winter 2024,Active,2024,6,Localbusiness data intelligence platform,openmart,ycombinator
Alai,https://getalai.com,Winter 2024,Active,2024,5,Create high quality presentations quickly using AI,alai,ycombinator
Brainbase Labs,https://brainbaselabs.com,Winter 2024,Active,2024,5,The AI Labor Company,brainbase-labs,ycombinator
Focal,https://focalml.com,Winter 2024,Active,2024,2,AI video creation tool for TV shows and movies,focal,ycombinator
Ligo Biosciences,https://www.ligo.bio,Summer 2024,Active,2024,4,Enzyme design models.,ligo-biosciences,ycombinator
Model ML,https://www.modelml.com/,Winter 2024,Active,2023,80,AI Workspace for Financial Services.,model-ml,ycombinator
BetterBasket,http://www.betterbasket.com,Winter 2024,Active,2024,5,Smart grocery pricing with AI,betterbasket,ycombinator
Risotto,https://tryrisotto.com,Winter 2024,Active,2024,3,Risotto auto-solves IT support requests using AI,risotto,ycombinator
Diana,https://getdiana.com/,Winter 2024,Active,2024,7,Give Your Employee An Employee,diana,ycombinator
Raindrop,https://www.raindrop.ai,Winter 2024,Active,2024,9,Sentry for AI Agents,raindrop,ycombinator
Manifold Freight,https://www.manifoldfreight.com/,Winter 2024,Active,2024,5,Aggregating Spot Freight Opportunities for Carriers,manifold-freight,ycombinator
OffDeal,https://offdeal.io,Winter 2024,Active,2024,15,AI-native investment bank for small businesses,offdeal,ycombinator
Overeasy,https://overeasy.sh/,Summer 2024,Active,2024,2,,overeasy,ycombinator
Andy AI,https://with-andy.com,Winter 2024,Active,2024,5,Faster clinical documentation for home health nurses,andy-ai,ycombinator
Conduit,https://conduit.ai/?utm_source=referral&utm_medium=organic&utm_campaign=ycombinator,Winter 2024,Active,2024,18,Conversational AI agents for Customer Service.,conduit-ai,ycombinator
Preloop,https://www.preloop.com,Winter 2024,Active,2023,2,Translate your experimental scripts into production ML services,preloop,ycombinator
Superagent,https://superagent.sh/,Winter 2024,Active,2023,2,Red teaming for AI agents,superagent,ycombinator
SevnAI,https://sevn.ai/,Winter 2024,Active,2023,2,AI Gaming,sevnai,ycombinator
Ellipsis,https://ellipsis.dev,Winter 2024,Active,2024,2,AI code reviews & bug fixes,ellipsis,ycombinator
Solari AI,https://www.usesolari.ai/,Winter 2024,Active,2024,1,Gives non-technical team members agents that work right out of the box,solari-ai,ycombinator
Centralize,https://www.usecentralize.com/,Winter 2024,Active,2023,6,The AI-powered deal collaboration platform for high ACV revenue teams,centralize,ycombinator
phospho,https://phospho.ai,Winter 2024,Active,2024,2,Give brains to robots,phospho,ycombinator
Firebender,https://firebender.com,Winter 2024,Active,2024,1,Most powerful coding agent for Android engineers,firebender,ycombinator
Aether,https://www.tryaether.co/,Winter 2024,Active,2024,8,AI sales platform for home services,aether,ycombinator
Fuse,http://www.fuseinsight.com,Summer 2024,Active,2024,3,AI helpers for patient intake and benefits checks,fuse-2,ycombinator
PandasAI,https://pandas-ai.com,Winter 2024,Active,2024,3,PandasAI is an open-source conversational data analysis platform with…,pandasai,ycombinator
14.ai,https://14.ai,Winter 2024,Active,2023,3,AI engine powering autonomous brands startingwith gloglo.com,14-ai,ycombinator
Tamarind Bio,https://www.tamarind.bio,Winter 2024,Active,2023,15,AI Inference Platform for Drug Discovery,tamarind-bio,ycombinator
Decipher AI,https://getdecipher.com,Winter 2024,Active,2024,4,QA agents that write tests 10x faster with zero maintenance,decipher-ai,ycombinator
Respan,https://respan.ai,Winter 2024,Active,2024,10,"""Self-driving observability, evals, and gateway for AI agents""",respan,ycombinator
Meticulate,https://meticulate.ai/,Winter 2024,Active,2024,5,Making it easy for B2B sales teams to send stellar outbound,meticulate,ycombinator
Tusk,https://usetusk.ai,Winter 2024,Active,2023,4,AI agent that generates unit and integration tests,tusk,ycombinator
TokenOwl,https://tokenowl.ai,Winter 2024,Active,2024,2,AI portfolio tools for thenext generation of finance,tokenowl,ycombinator
Ecliptor,https://ecliptor.ai,Winter 2024,Active,2024,2,AI and Embeddings. ,ecliptor,ycombinator
Greenboard,https://www.greenboard.com,Winter 2024,Active,2023,26,Modern OS for the financial back office. ,greenboard,ycombinator
Eggnog,https://www.eggnog.ai,Winter 2024,Active,2024,1,Fun with AI video,eggnog,ycombinator
Arini,https://www.arini.ai,Winter 2024,Active,2024,17,AI receptionist for dentists,arini,ycombinator
AveryIQ,https://callavery.com,Winter 2024,Active,2024,3,AI Copilot for Property Managers and Landlords,averyiq,ycombinator
Agentic Labs,https://agenticlabs.com,Winter 2024,Active,2024,2,AI system design tools for dev teams,agentic-labs-2,ycombinator
nCompass Technologies,https://www.ncompass.tech,Winter 2024,Active,2024,3,Optimize performance on GPUs - 10x faster,ncompass-technologies,ycombinator
Pretzel AI,https://withpretzel.com,Winter 2024,Active,2024,2,AI tooling,pretzel-ai,ycombinator
Reducto,https://reducto.ai,Winter 2024,Active,2024,30,The most accurate API to parse documents,reducto,ycombinator
Andon Labs,https://andonlabs.com/,Winter 2024,Active,2023,9,Autonomous organizations without humans inthe loop,andon-labs,ycombinator
Poka Labs,https://www.pokalabs.com/,Summer 2024,Active,2024,3,The modern operating system for chemical manufacturing.,poka-labs,ycombinator
Nuanced,https://www.nuanced.dev/,Winter 2024,Active,2024,2,Nuanced makes AI coding agents and tools smarter with static analysis.,nuanced,ycombinator
Tracecat,https://tracecat.com,Winter 2024,Active,2024,,The open sourceAI-native security automation platform,tracecat,ycombinator
Sonia,https://soniahealth.com,Winter 2024,Active,2024,8,"""Validated mental health support in your pocket, anytime. """,sonia,ycombinator
Duckie,https://duckie.ai/,Winter 2024,Active,2023,4,Build AI Support Agents in Minutes,duckie,ycombinator
Happenstance,https://happenstance.ai,Winter 2024,Active,2024,3,People search powered by AI,happenstance,ycombinator
Greptile,https://www.greptile.com,Winter 2024,Active,2023,20,AI code review agent with complete context of your codebase,greptile,ycombinator
ego,https://egoai.com,Winter 2024,Active,2024,9,"""Character AI + Roblox :persistent, sapient AI characters in 3D worlds """,ego,ycombinator
Legora,https://www.legora.com/,Winter 2024,Active,2023,400,The AI workspace for lawyers,legora,ycombinator
Scritch,https://www.scritchai.com,Winter 2024,Active,2024,,AI operating system for veterinary care,scritch,ycombinator
DryMerge,https://www.drymerge.com,Winter 2024,Active,2023,4,AI that updates your CRM for you,drymerge,ycombinator
Navier AI,http://navier.ai,Winter 2024,Active,2024,7,Agent-Driven Engineering,navier-ai,ycombinator
Upsolve AI,https://upsolve.ai/,Winter 2024,Active,2023,5,Embed GenBI in Your SaaS App,upsolve-ai,ycombinator
Letterbook,https://www.letterbook.ai/,Summer 2023,Active,2023,2,AI-native customer support platform,letterbook,ycombinator
Orbio Earth,https://www.orbio.earth/,Summer 2023,Active,2023,6,Tracking methane emissions with satellites,orbio-earth,ycombinator
jo,https://askjo.ai,Winter 2024,Active,2024,2,A new personal AI that actuallyknows you.,jo,ycombinator
Tempo,https://www.tempo.new,Summer 2023,Active,2023,8,"""Visual Editor for React, powered by AI""",tempo-2,ycombinator
Cognitio Labs,https://cognitioiq.com,Summer 2023,Active,2023,,Automating FDA-grade Traceability Requirements with Sensors and AI.,cognitio-labs,ycombinator
truemetrics,https://www.truemetrics.io/,Summer 2023,Active,2023,5,We show couriers where to parkand enter a building.,truemetrics,ycombinator
Wattson Health,https://www.wattsonhealth.com,Summer 2023,Active,2023,3,AI Voice and SMS Agents for Healthcare,wattson-health,ycombinator
Morph,https://morphllm.com,Summer 2023,Active,2023,3,Subagents and tools that improve coding agents,morph,ycombinator
Nowadays,http://nowadays.ai/,Summer 2023,Active,2023,5,AI co-pilot for corporate retreat andevent planning,nowadays,ycombinator
Waldium,https://www.waldium.com/,Summer 2023,Active,2023,5,The publishing layer for the AI-native web,waldium,ycombinator
Mocha,https://getmocha.com,Summer 2023,Active,2023,7,Build and publish web apps in minutes. No coding required.,mocha,ycombinator
Simbie AI,http://www.simbie.ai,Summer 2023,Active,2023,5,We get patients to their next appointment,simbie-ai,ycombinator
AiSDR,https://aisdr.com/,Summer 2023,Active,2023,5,AI sales prospecting. Replace your SDR with AiSDR,aisdr,ycombinator
Giga,https://giga.ai/,Summer 2023,Active,2023,30,AI Support Agent for Enterprises.,giga,ycombinator
Inconvo,https://inconvo.com,Summer 2023,Active,2023,2,Build chat-with-data agents for customer-facing applications,inconvo,ycombinator
Roame,https://roame.travel/,Summer 2023,Active,2023,2,Flight search engine using credit card points and miles,roame,ycombinator
dili,https://www.dili.com,Summer 2023,Active,2023,15,Automating PWA Compliance and Diligence,dili,ycombinator
Webhound,https://webhound.ai,Summer 2023,Active,2023,2,Long-horizon research agents,webhound,ycombinator
Cair Health,https://www.cairhealth.com/,Summer 2023,Active,2023,6,AI Agents for Healthcare RCM,cair-health,ycombinator
Quill Bills,https://quillbills.com,Summer 2023,Active,2023,3,AI-Powered Medical Billing,quill-bills,ycombinator
Strada,https://www.getstrada.com/,Summer 2023,Active,2023,18,AI agents that run insurance operations,strada,ycombinator
Minded,https://www.minded.com/,Summer 2023,Active,2023,2,Cursor for AI Agents,minded,ycombinator
Terracotta AI,https://tryterracotta.com,Summer 2023,Active,2023,3,AI-powered Infrastructure as Code PR reviews,terracotta-ai,ycombinator
Cedalio,https://cedalio.com/,Summer 2023,Active,2023,6,Turn your utility bills into smart decisions with AI,cedalio,ycombinator
Langdock,https://langdock.com,Summer 2023,Active,2023,22,The all-in-one AI platform for companies.,langdock,ycombinator
sudocode,https://sudocode.ai,Summer 2023,Active,2023,2,orchestrate your coding agents with sudocode,sudocode,ycombinator
Sweep,https://sweep.dev/,Summer 2023,Active,2023,4,The best AIcoding assistant for JetBrains,sweep,ycombinator
Silimate,https://www.silimate.com,Summer 2023,Active,2023,8,The copilot for chip designers,silimate,ycombinator
Andromeda Surgical,http://www.andromedasurgical.com,Summer 2023,Active,2023,10,Autonomous surgical robots,andromeda-surgical,ycombinator
DisputeNinja,https://www.disputeninja.ai,Summer 2023,Active,2023,2,Automate your chargebacks with AI agents,disputeninja,ycombinator
Baserun,https://baserun.ai,Summer 2023,Active,2023,2,Observability and evaluation platform for LLM apps.,baserun,ycombinator
Sola,https://www.sola-solutions.com/,Summer 2023,Active,2023,5,Copilot forRobotic Process Automation,sola,ycombinator
Rankai,https://rankai.ai/,Summer 2023,Active,2024,4,AI-Native Agency for Organic Growth (SEO & GEO) ,rankai,ycombinator
Inlet,https://inletai.com,Summer 2023,Active,2023,2,AI timekeeping forlegal professionals.,inlet-2,ycombinator
Slicker,https://www.slickerhq.com,Summer 2023,Active,2023,2,Recover payment failures and maximize subscription Revenue,slicker,ycombinator
Gleam,https://joingleam.com,Summer 2023,Active,2023,4,Automating Data Entry for Clinical Trials,gleam,ycombinator
sizeless,https://www.sizeless.co,Summer 2023,Active,2023,3,Instant 3D Digital Twins for Smarter RealEstate.,sizeless,ycombinator
Continue,https://continue.dev,Summer 2023,Active,2023,5,Quality control for your software factory,continue,ycombinator
Respaid,https://www.respaid.com,Summer 2023,Active,2023,42,"""Respectful B2B Debt Collection, Powered by AI""",respaid,ycombinator
MediSearch,https://medisearch.io,Summer 2023,Active,2023,6,Search engine for trustworthy medical information.,medisearch,ycombinator
Numen,https://www.numen.com,Summer 2023,Active,2023,16,Engineering a future without cancer deaths.,numen,ycombinator
Decoda Health,https://decodahealth.com/,Summer 2023,Active,2023,15,The all-in-one EMR built for med spasand elective care,decoda-health,ycombinator
Skyvern,https://www.skyvern.com/,Summer 2023,Active,2023,6,Open Source AI Agent to automate browser workflows viaan API,skyvern,ycombinator
Rocketeer,https://rocketeer.build,Summer 2023,Active,2023,4,Claude Code for GTM,rocketeer,ycombinator
Serra,https://www.serra.io/,Summer 2023,Active,2023,8,Your 24/7 AI Recruiter,serra,ycombinator
Arcimus,https://www.arcimus.com/,Summer 2023,Active,2023,2,A stream of engineering candidates who ship.,arcimus,ycombinator
Bronco AI,https://www.bronco.ai/,Summer 2023,Active,2023,5,AI for ASIC Design Verification,bronco-ai,ycombinator
Venta AI,https://www.getventa.ai,Summer 2023,Active,2023,7,The compliant AI colleague for sales teams in Europe,venta-ai,ycombinator
Alguna,https://alguna.com,Summer 2023,Active,2023,10,AI-Native CPQ & Billing for Modern Pricing Models,alguna,ycombinator
SID,https://www.sid.ai,Summer 2023,Active,2023,4,AI research lab forretrieval,sid,ycombinator
Spine AI,https://www.getspine.ai,Summer 2023,Active,2023,7,Manage a swarm of AI agents to get real work done,spine-ai,ycombinator
CORE,https://getcore.me,Summer 2023,Active,2023,3,Your AI butler that understands you really well and proactively acts…,heysol,ycombinator
Talc,https://talc.ai,Summer 2023,Active,2023,3,Event extraction for Medical Researchers,talc,ycombinator
OpenTools,https://opentools.com,Summer 2023,Active,2023,3,The API for LLM tool use,opentools,ycombinator
Readily,https://readily.co,Summer 2023,Active,2023,14,AI Compliance Platform for Healthcare Organizations,readily,ycombinator
Pointhound,http://www.pointhound.com,Summer 2023,Active,2023,5,Earn and redeem credit card points for free flights,pointhound,ycombinator
Diligent,https://godiligent.ai,Summer 2023,Active,2024,2,AI agents for fintech risk and compliance operations,diligent,ycombinator
Sohar Health,https://www.soharhealth.com,Summer 2023,Active,2023,8,AI-powered insurance verification to boost patient conversion.,sohar-health,ycombinator
Elyos AI,https://www.elyos.ai/,Summer 2023,Active,2023,20,AI Customer Service Agents for trades and field services,elyos-ai,ycombinator
Clearest Health,https://clearesthealth.com/,Summer 2023,Active,2023,3,Rebuilding trust in American health insurance.,clearest-health,ycombinator
Reworkd,https://reworkd.ai,Summer 2023,Active,2023,1,The simplest way to extract web data at scale,reworkd,ycombinator
Kino AI,https://kino.ai,Summer 2023,Active,2023,4,Kino is an AI media manager and video editor for humans and agents.,kino-ai,ycombinator
kapa.ai,https://www.kapa.ai,Summer 2023,Active,2023,22,The fastest way to build AI assistants on technical content,kapa-ai,ycombinator
Vaero,https://vaero.ai,Winter 2023,Active,2023,1,AI for Human Writing,vaero,ycombinator
Yuma AI,https://yuma.ai,Winter 2023,Active,2023,26,The AI Support Agent for Ecommerce,yuma-ai,ycombinator
Automat,https://www.runautomat.com/,Winter 2023,Active,2023,,AI enabled RPA using ChatGPT and computer vision,automat,ycombinator
Adri AI,https://www.getadri.ai/,Winter 2023,Active,2023,2,Vanta for AI,adri-ai,ycombinator
Vendora,https://www.vendora.io/,Winter 2023,Active,2023,4,All-in-One Software for the $1T Grocery Industry,vendora,ycombinator
Type,https://type.ai,Winter 2023,Active,2023,4,The AI-first document editor.,type,ycombinator
Metal,https://metal.ai/,Winter 2023,Active,2023,17,Institutional Intelligence for Private Equity,metal,ycombinator
Pier,http://www.pier-finance.com,Winter 2023,Active,2023,4,Stripe for Credit - Trusted Credit Compliance Partner,pier,ycombinator
Benchmark,https://withbenchmark.com/,Winter 2023,Active,2023,7,Decision infrastructure for investment firms,benchmark,ycombinator
rex.fit,https://www.rex.fit,Winter 2023,Active,2023,2,Automating nutrition tracking.,rex-fit,ycombinator
Berry,https://berryai.com/,Winter 2023,Active,2023,8,Scale customersuccess and onboarding with AI ,berry,ycombinator
Decohere,https://decohere.ai,Winter 2023,Active,2023,4,Real-time generative AI,decohere,ycombinator
CorgiLabs,https://www.corgilabs.ai,Winter 2023,Active,2023,3,AI to increase payment acceptance and reduce fraud for businesses,corgi-labs,ycombinator
Coldreach,https://coldreach.ai/,Winter 2023,Active,2023,3,Find the best leads with custom intent signals,coldreach,ycombinator
SuperKalam,https://superkalam.com,Winter 2023,Active,2023,20,AI-Powered Super Mentor for Test Prep,superkalam,ycombinator
CombineHealth,https://www.combinehealth.ai/,Winter 2023,Active,2023,15,Automating Healthcare Revenue Cycle Management with AI Workforce,combinehealth,ycombinator
Hippo Scribe,https://gethipposcribe.com,Winter 2023,Active,2024,2,AI assisted documentation for PT/OT/SLP,hippo-scribe,ycombinator
Finic,https://www.finic.ai,Winter 2023,Active,2023,4,Proactively hunt down fraud with AI,finic,ycombinator
Shortbread,https://www.shortbread.ai/,Winter 2023,Active,2023,4,Read romance comics.,shortbread,ycombinator
Boundary,https://www.boundaryml.com,Winter 2023,Active,2023,5,The programming language for AI,boundary,ycombinator
222,https://222.place,Winter 2023,Active,2022,16,the AI social facilitator for offlinehuman to human interactions,222,ycombinator
1stCollab,https://1stcollab.com/,Winter 2023,Active,2022,11,Performance-Optimized Influencer Marketing at Scale,1stcollab,ycombinator
Orchid,https://orchid.health,Winter 2023,Active,2023,4,AI-powered EHR for independent mental health professionals,orchid,ycombinator
Truewind,https://www.trytruewind.com,Winter 2023,Active,2023,30,AI-Powered Accounting,truewind,ycombinator
Velos,https://www.tryvelos.com,Winter 2023,Active,2023,3,Platform to automate manual back-office work,velos,ycombinator
Iliad,https://iliad.ai,Winter 2023,Active,2023,1,AI-accelerated procedural material and texture tools.,iliad,ycombinator
co.dev,https://co.dev/?ref=YC,Winter 2023,Active,2023,2,Turn your ideas into full-stack apps,co-dev,ycombinator
DataSuite,https://truthsuite.com,Winter 2023,Active,2022,4,Dataset Management for AI Trainers,datasuite,ycombinator
No Cap,https://www.nocap.so,Winter 2023,Active,2023,5,"""AIstartup investor, No Cap""",no-cap,ycombinator
Gooseworks,https://gooseworks.ai/,Winter 2023,Active,2022,5,OpenClaw-style AI coworkers for GTM teams,gooseworks,ycombinator
Cosine,http://www.cosine.sh,Winter 2023,Active,2022,12,Fully Agentic SWE,cosine,ycombinator
PoplarML,http://poplarml.com,Winter 2023,Active,2023,2,Deploy Machine Learning Models with One Command,poplarml,ycombinator
infra.new,https://infra.new,Winter 2023,Active,2023,3,AI Agent for Cloud Infrastructure,infranew,ycombinator
Gluetrail,https://www.gluetrail.com,Winter 2023,Active,2022,2,Create step by step articles with screenshots and videos 10x faster,gluetrail,ycombinator
JustPaid,https://www.justpaid.ai,Winter 2023,Active,2023,20,Billing Automation for B2B that actually works.,justpaid,ycombinator
Narrative,https://www.trynarrative.com/,Winter 2023,Active,2023,5,AI agents for end-to-end testing,narrative,ycombinator
